Offer,Description,Link,Eligible Credit Cards,Eligible Debit Cards,,,,,,,,,,,,,,,,,,,,,
"RBL Bank Popcorn, Fun+, Movies & More and Blockbuster card monthly offer",RBL Bank Monthly Offer,https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216,RBL Bank Popcorn Credit Card,,,,,,,,,,,,,,,,,,,,,,
"RBL Bank Popcorn, Fun+, Movies & More and Blockbuster card monthly offer",RBL Bank Monthly Offer,https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216,RBL Bank Fun+ Credit Card,,,,,,,,,,,,,,,,,,,,,,
"RBL Bank Popcorn, Fun+, Movies & More and Blockbuster card monthly offer",RBL Bank Monthly Offer,https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216,RBL Bank Movies & More Credit Card,,,,,,,,,,,,,,,,,,,,,,
"RBL Bank Popcorn, Fun+, Movies & More and Blockbuster card monthly offer",RBL Bank Monthly Offer,https://in.bookmyshow.com/offers/rbl-bank-monthly-offer/RBLMON1216,RBL Bank Blockbuster Credit Card,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Welcome Offer,RBL Bank Welcome Offer,https://in.bookmyshow.com/offers/rbl-bank-welcome-offer/RBLWC1216,RBL Bank Popcorn Credit Card,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Welcome Offer,RBL Bank Welcome Offer,https://in.bookmyshow.com/offers/rbl-bank-welcome-offer/RBLWC1216,RBL Bank Fun+ Credit Card,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Welcome Offer,RBL Bank Welcome Offer,https://in.bookmyshow.com/offers/rbl-bank-welcome-offer/RBLWC1216,RBL Bank Movies & More Credit Card,,,,,,,,,,,,,,,,,,,,,,
RBL Bank Welcome Offer,RBL Bank Welcome Offer,https://in.bookmyshow.com/offers/rbl-bank-welcome-offer/RBLWC1216,RBL Bank Blockbuster Credit Card,,,,,,,,,,,,,,,,,,,,,,
Reliance SBI Card PRIME,Get 1 Free movie ticket upto INR 250 every month with Reliance SBI Card PRIME,https://in.bookmyshow.com/offers/reliance-sbi-card-prime/SBIRIL03241,Reliance SBI Card Prime,,,,,,,,,,,,,,,,,,,,,,
YES Bank MARQUEE Credit Card Offer,Buy 1 Get 1 free movie ticket with YES Bank MARQUEE Credit Card*,https://in.bookmyshow.com/offers/yes-bank-marquee-credit-card-offer/YESMRQ1123,Yes Bank Marquee Credit Card,,,,,,,,,,,,,,,,,,,,,,
Yes Private Credit Card Offer,Buy 1 get 1 movie ticket free + 50% off on non movie tickets with Yes Private Credit Card,https://in.bookmyshow.com/offers/yes-private-credit-card-offer/YESPRCC124,Yes Private Prime Credit Card,,,,,,,,,,,,,,,,,,,,,,
AURUM Credit Card Offer,Get 4 movie tickets or INR 1000 once a month with AURUM credit card.,https://in.bookmyshow.com/offers/aurum-credit-card-offer/SBISPR0724,Aurum Credit Card,,,,,,,,,,,,,,,,,,,,,,
IDFC First Bank Private Credit Card Offer,Get up to INR 750 off on Movies and FnB and/or Non-movies twice a month with IDFC First Bank Private Credit Card,https://in.bookmyshow.com/offers/idfc-first-bank-private-credit-card-offer/IDFCCC0921,IDFC First Private Credit Card,,,,,,,,,,,,,,,,,,,,,,
SBI Signature/Elite credit card offer,Get 2 free movie tickets or INR 500 off whichever is less with SBI Signature/Elite credit cards,https://in.bookmyshow.com/offers/sbi-inr-500-off-on-elite-credit-card/SBI0724,SBI Card Elite,,,,,,,,,,,,,,,,,,,,,,
DBS Bank Vantage Credit Card Offer,Buy One Get One Free upto INR500 Off* twice a month on DBS Vantage Credit Card,https://in.bookmyshow.com/offers/dbs-bank-vantage-credit-card-offer/DBSVN0424,DBS Vantage Card,,,,,,,,,,,,,,,,,,,,,,
DBS Spark Credit Card Offer,Buy One Get One Free Upto INR 200* on DBS Spark Credit Card,https://in.bookmyshow.com/offers/dbs-spark-credit-card-offer/DBSCC1023,DBS Spark5 Credit Card,,,,,,,,,,,,,,,,,,,,,,
DBS Spark Credit Card Offer,Buy One Get One Free Upto INR 200* on DBS Spark Credit Card,https://in.bookmyshow.com/offers/dbs-spark-credit-card-offer/DBSCC1023,DBS Spark20 Credit Card,,,,,,,,,,,,,,,,,,,,,,
DBS Spark Credit Card Offer,Buy One Get One Free Upto INR 200* on DBS Spark Credit Card,https://in.bookmyshow.com/offers/dbs-spark-credit-card-offer/DBSCC1023,DBS Spark 10 Credit Card,,,,,,,,,,,,,,,,,,,,,,
HDFC Bank Times Card Offer,Get 25% discount on movie tickets with HDFC Timescard Credit & 50% discount on movie tickets with HDFC Timescard Credit Platinum,https://in.bookmyshow.com/offers/hdfc-bank-times-card-offer/HTCCC0324,HDFC Bank Platinum Times Credit Card,,,,,,,,,,,,,,,,,,,,,,
